"","confCase","confCaseRate","createDt","criticalRate","death","deathRate","gubun","seq","updateDt"
"1",959,2.87,"2020-11-28 14:02:03.598",0,0,"0.00","0-9",5048,"null"
"2",1959,5.87,"2020-11-28 14:02:03.598",0,0,"0.00","10-19",5047,"null"
"3",6319,18.93,"2020-11-28 14:02:03.598",0,0,"0.00","20-29",5046,"null"
"4",4284,12.84,"2020-11-28 14:02:03.598",0.05,2,"0.38","30-39",5045,"null"
"5",4690,14.05,"2020-11-28 14:02:03.598",0.09,4,"0.77","40-49",5044,"null"
"6",6060,18.16,"2020-11-28 14:02:03.597",0.4,24,"4.60","50-59",5043,"null"
"7",5137,15.39,"2020-11-28 14:02:03.597",1.23,63,"12.07","60-69",5042,"null"
"8",2572,7.71,"2020-11-28 14:02:03.597",6.49,167,"31.99","70-79",5041,"null"
"9",1395,4.18,"2020-11-28 14:02:03.597",18.78,262,"50.19","80 이상",5040,"null"
"10",17441,52.26,"2020-11-28 14:02:03.597",1.43,249,"47.70","여성",5039,"null"
"11",15934,47.74,"2020-11-28 14:02:03.596",1.71,273,"52.30","남성",5038,"null"
"12",946,2.88,"2020-11-27 14:12:57.22",0,0,"0.00","0-9",5026,"null"
"13",1922,5.84,"2020-11-27 14:12:57.22",0,0,"0.00","10-19",5025,"null"
"14",6251,19.01,"2020-11-27 14:12:57.22",0,0,"0.00","20-29",5024,"null"
"15",4212,12.81,"2020-11-27 14:12:57.22",0.05,2,"0.39","30-39",5023,"null"
"16",4598,13.98,"2020-11-27 14:12:57.22",0.09,4,"0.78","40-49",5022,"null"
"17",5982,18.19,"2020-11-27 14:12:57.22",0.4,24,"4.65","50-59",5021,"null"
"18",5055,15.37,"2020-11-27 14:12:57.22",1.23,62,"12.02","60-69",5020,"null"
"19",2542,7.73,"2020-11-27 14:12:57.22",6.57,167,"32.36","70-79",5019,"null"
"20",1379,4.19,"2020-11-27 14:12:57.219",18.64,257,"49.81","80 이상",5018,"null"
"21",17199,52.3,"2020-11-27 14:12:57.219",1.42,245,"47.48","여성",5017,"null"
"22",15688,47.7,"2020-11-27 14:12:57.219",1.73,271,"52.52","남성",5016,"null"
"23",925,2.86,"2020-11-26 14:24:34.08",0,0,"0.00","0-9",5004,"null"
"24",1882,5.82,"2020-11-26 14:24:34.08",0,0,"0.00","10-19",5003,"null"
"25",6165,19.08,"2020-11-26 14:24:34.08",0,0,"0.00","20-29",5002,"null"
"26",4127,12.77,"2020-11-26 14:24:34.08",0.05,2,"0.39","30-39",5001,"null"
"27",4499,13.92,"2020-11-26 14:24:34.08",0.09,4,"0.78","40-49",5000,"null"
"28",5865,18.15,"2020-11-26 14:24:34.08",0.41,24,"4.66","50-59",4999,"null"
"29",4987,15.43,"2020-11-26 14:24:34.079",1.24,62,"12.04","60-69",4998,"null"
"30",2515,7.78,"2020-11-26 14:24:34.079",6.64,167,"32.43","70-79",4997,"null"
"31",1353,4.19,"2020-11-26 14:24:34.079",18.92,256,"49.71","80 이상",4996,"null"
"32",16942,52.42,"2020-11-26 14:24:34.079",1.44,244,"47.38","여성",4995,"null"
"33",15376,47.58,"2020-11-26 14:24:34.079",1.76,271,"52.62","남성",4994,"null"
"34",904,2.85,"2020-11-25 14:12:48.154",0,0,"0.00","0-9",4982,"null"
"35",1825,5.75,"2020-11-25 14:12:48.154",0,0,"0.00","10-19",4981,"null"
"36",6040,19.03,"2020-11-25 14:12:48.154",0,0,"0.00","20-29",4980,"null"
"37",4044,12.74,"2020-11-25 14:12:48.154",0.05,2,"0.39","30-39",4979,"null"
"38",4406,13.88,"2020-11-25 14:12:48.154",0.09,4,"0.78","40-49",4978,"null"
"39",5770,18.18,"2020-11-25 14:12:48.154",0.42,24,"4.68","50-59",4977,"null"
"40",4915,15.49,"2020-11-25 14:12:48.154",1.26,62,"12.09","60-69",4976,"null"
"41",2487,7.84,"2020-11-25 14:12:48.154",6.63,165,"32.16","70-79",4975,"null"
"42",1344,4.24,"2020-11-25 14:12:48.153",19.05,256,"49.90","80 이상",4974,"null"
"43",16656,52.48,"2020-11-25 14:12:48.153",1.46,244,"47.56","여성",4973,"null"
