"","createDt","deathCnt","defCnt","gubun","gubunCn","gubunEn","incDec","isolClearCnt","isolIngCnt","localOccCnt","overFlowCnt","qurRate","seq","stdDay","updateDt"
"1","2020-11-28 09:39:41.798",0,2164,"검역","隔離區","Lazaretto",3,1619,545,0,3,"0",5973,"2020년 11월 28일 00시","null"
"2","2020-11-28 09:39:41.798",0,78,"제주","<U+6D4E>州","Jeju",2,60,18,2,0,"12",5972,"2020년 11월 28일 00시","null"
"3","2020-11-28 09:39:41.798",1,590,"경남","<U+5E86>南","Gyeongsangnam-do",14,376,213,13,1,"18",5971,"2020년 11월 28일 00시","null"
"4","2020-11-28 09:39:41.798",57,1689,"경북","<U+5E86>北","Gyeongsangbuk-do",5,1547,85,4,1,"63",5970,"2020년 11월 28일 00시","null"
"5","2020-11-28 09:39:41.797",2,400,"전남","全南","Jeollanam-do",7,198,200,7,0,"21",5969,"2020년 11월 28일 00시","null"
"6","2020-11-28 09:39:41.797",2,301,"전북","全北","Jeollabuk-do",9,173,126,9,0,"17",5968,"2020년 11월 28일 00시","null"
"7","2020-11-28 09:39:41.797",8,881,"충남","忠南","Chungcheongnam-do",17,654,219,14,3,"42",5967,"2020년 11월 28일 00시","null"
"8","2020-11-28 09:39:41.797",3,283,"충북","忠北","Chungcheongbuk-do",24,203,77,23,1,"18",5966,"2020년 11월 28일 00시","null"
"9","2020-11-28 09:39:41.797",6,625,"강원","江原","Gangwon-do",33,382,237,33,0,"41",5965,"2020년 11월 28일 00시","null"
"10","2020-11-28 09:39:41.797",116,7107,"경기","京畿","Gyeonggi-do",126,5770,1221,122,4,"54",5964,"2020년 11월 28일 00시","null"
"11","2020-11-28 09:39:41.797",0,96,"세종","世宗","Sejong",0,83,13,0,0,"28",5963,"2020년 11월 28일 00시","null"
"12","2020-11-28 09:39:41.796",2,195,"울산","蔚山","Ulsan",3,164,29,3,0,"17",5962,"2020년 11월 28일 00시","null"
"13","2020-11-28 09:39:41.796",6,483,"대전","大田","Daejeon",13,446,31,13,0,"33",5961,"2020년 11월 28일 00시","null"
"14","2020-11-28 09:39:41.796",3,675,"광주","光州","Gwangju",16,562,110,14,2,"46",5960,"2020년 11월 28일 00시","null"
"15","2020-11-28 09:39:41.796",11,1354,"인천","仁川","Incheon",25,1066,277,25,0,"46",5959,"2020년 11월 28일 00시","null"
"16","2020-11-28 09:39:41.796",199,7225,"대구","大邱","Daegu",1,6996,30,1,0,"297",5958,"2020년 11월 28일 00시","null"
"17","2020-11-28 09:39:41.796",15,735,"부산","釜山","Busan",28,595,125,27,1,"22",5957,"2020년 11월 28일 00시","null"
"18","2020-11-28 09:39:41.795",91,8494,"서울","首<U+5C14>","Seoul",178,6455,1948,176,2,"87",5956,"2020년 11월 28일 00시","null"
"19","2020-11-28 09:39:41.795",522,33375,"합계","合<U+8BA1>","Total",504,27349,5504,486,18,"64",5955,"2020년 11월 28일 00시","null"
"20","2020-11-27 09:39:51.818",0,2175,"검역","隔離區","Lazaretto",31,1591,584,0,31,"-",5954,"2020년 11월 27일 00시","null"
"21","2020-11-27 09:39:51.818",0,76,"제주","<U+6D4E>州","Jeju",3,60,16,3,0,"11.33",5953,"2020년 11월 27일 00시","null"
"22","2020-11-27 09:39:51.818",1,576,"경남","<U+5E86>南","Gyeongsangnam-do",39,371,204,38,1,"17.14",5952,"2020년 11월 27일 00시","null"
"23","2020-11-27 09:39:51.818",57,1684,"경북","<U+5E86>北","Gyeongsangbuk-do",3,1540,87,3,0,"63.25",5951,"2020년 11월 27일 00시","null"
"24","2020-11-27 09:39:51.818",2,393,"전남","全南","Jeollanam-do",11,196,195,10,1,"21.08",5950,"2020년 11월 27일 00시","null"
"25","2020-11-27 09:39:51.818",2,292,"전북","全北","Jeollabuk-do",24,173,117,24,0,"16.07",5949,"2020년 11월 27일 00시","null"
"26","2020-11-27 09:39:51.818",8,864,"충남","忠南","Chungcheongnam-do",31,643,213,31,0,"40.71",5948,"2020년 11월 27일 00시","null"
"27","2020-11-27 09:39:51.818",3,259,"충북","忠北","Chungcheongbuk-do",20,203,53,19,1,"16.19",5947,"2020년 11월 27일 00시","null"
"28","2020-11-27 09:39:51.817",6,592,"강원","江原","Gangwon-do",9,361,225,8,1,"38.43",5946,"2020년 11월 27일 00시","null"
"29","2020-11-27 09:39:51.817",113,6981,"경기","京畿","Gyeonggi-do",117,5714,1154,112,5,"52.69",5945,"2020년 11월 27일 00시","null"
"30","2020-11-27 09:39:51.817",0,96,"세종","世宗","Sejong",3,83,13,3,0,"28.04",5944,"2020년 11월 27일 00시","null"
"31","2020-11-27 09:39:51.817",2,192,"울산","蔚山","Ulsan",7,164,26,7,0,"16.74",5943,"2020년 11월 27일 00시","null"
"32","2020-11-27 09:39:51.817",6,470,"대전","大田","Daejeon",5,441,23,5,0,"31.88",5942,"2020년 11월 27일 00시","null"
"33","2020-11-27 09:39:51.817",3,659,"광주","光州","Gwangju",13,550,106,13,0,"45.24",5941,"2020년 11월 27일 00시","null"
"34","2020-11-27 09:39:51.817",11,1330,"인천","仁川","Incheon",25,1062,257,21,4,"44.99",5940,"2020년 11월 27일 00시","null"
"35","2020-11-27 09:39:51.816",199,7224,"대구","大邱","Daegu",0,6993,32,0,0,"296.49",5939,"2020년 11월 27일 00시","null"
"36","2020-11-27 09:39:51.816",15,707,"부산","釜山","Busan",24,594,98,24,0,"20.72",5938,"2020년 11월 27일 00시","null"
"37","2020-11-27 09:39:51.816",88,8317,"서울","首<U+5C14>","Seoul",204,6364,1865,204,0,"85.45",5937,"2020년 11월 27일 00시","null"
"38","2020-11-27 09:39:51.816",516,32887,"합계","合<U+8BA1>","Total",569,27103,5268,525,44,"63.43",5936,"2020년 11월 27일 00시","null"
"39","2020-11-26 09:50:25.395",0,2144,"검역","隔離區","Lazaretto",12,1588,556,0,12,"-",5935,"2020년 11월 26일 00시","null"
"40","2020-11-26 09:50:25.395",0,73,"제주","<U+6D4E>州","Jeju",3,60,13,2,1,"10.88",5934,"2020년 11월 26일 00시","null"
"41","2020-11-26 09:50:25.395",1,537,"경남","<U+5E86>南","Gyeongsangnam-do",45,368,168,45,0,"15.98",5933,"2020년 11월 26일 00시","null"
"42","2020-11-26 09:50:25.395",57,1681,"경북","<U+5E86>北","Gyeongsangbuk-do",2,1538,86,2,0,"63.14",5932,"2020년 11월 26일 00시","null"
"43","2020-11-26 09:50:25.395",2,382,"전남","全南","Jeollanam-do",9,191,189,9,0,"20.49",5931,"2020년 11월 26일 00시","null"
"44","2020-11-26 09:50:25.395",2,268,"전북","全北","Jeollabuk-do",16,172,94,16,0,"14.75",5930,"2020년 11월 26일 00시","null"
"45","2020-11-26 09:50:25.395",8,833,"충남","忠南","Chungcheongnam-do",16,639,186,16,0,"39.25",5929,"2020년 11월 26일 00시","null"
"46","2020-11-26 09:50:25.394",3,239,"충북","忠北","Chungcheongbuk-do",8,202,34,8,0,"14.94",5928,"2020년 11월 26일 00시","null"
"47","2020-11-26 09:50:25.394",6,583,"강원","江原","Gangwon-do",8,342,235,8,0,"37.84",5927,"2020년 11월 26일 00시","null"
"48","2020-11-26 09:50:25.394",112,6864,"경기","京畿","Gyeonggi-do",183,5676,1076,177,6,"51.80",5926,"2020년 11월 26일 00시","null"
"49","2020-11-26 09:50:25.394",0,93,"세종","世宗","Sejong",4,82,11,4,0,"27.17",5925,"2020년 11월 26일 00시","null"
"50","2020-11-26 09:50:25.394",2,185,"울산","蔚山","Ulsan",7,164,19,6,1,"16.13",5924,"2020년 11월 26일 00시","null"
"51","2020-11-26 09:50:25.394",6,465,"대전","大田","Daejeon",1,440,19,1,0,"31.54",5923,"2020년 11월 26일 00시","null"
"52","2020-11-26 09:50:25.394",3,646,"광주","光州","Gwangju",14,543,100,14,0,"44.35",5922,"2020년 11월 26일 00시","null"
"53","2020-11-26 09:50:25.393",11,1305,"인천","仁川","Incheon",19,1060,234,17,2,"44.15",5921,"2020년 11월 26일 00시","null"
"54","2020-11-26 09:50:25.393",199,7224,"대구","大邱","Daegu",1,6991,34,1,0,"296.49",5920,"2020년 11월 26일 00시","null"
"55","2020-11-26 09:50:25.393",15,683,"부산","釜山","Busan",22,594,74,19,3,"20.02",5919,"2020년 11월 26일 00시","null"
"56","2020-11-26 09:50:25.393",88,8113,"서울","首<U+5C14>","Seoul",213,6300,1725,208,5,"83.35",5918,"2020년 11월 26일 00시","null"
"57","2020-11-26 09:50:25.393",515,32318,"합계","合<U+8BA1>","Total",583,26950,4853,553,30,"62.33",5917,"2020년 11월 26일 00시","null"
"58","2020-11-25 16:50:24.794",0,2132,"검역","隔離區","Lazaretto",7,1584,548,0,7,"-",5897,"2020년 11월 25일 00시","null"
"59","2020-11-25 16:50:24.793",0,70,"제주","<U+6D4E>州","Jeju",3,60,10,3,0,"10.44",5896,"2020년 11월 25일 00시","null"
"60","2020-11-25 16:50:24.793",1,492,"경남","<U+5E86>南","Gyeongsangnam-do",11,364,127,10,1,"14.64",5895,"2020년 11월 25일 00시","null"
"61","2020-11-25 16:50:24.793",57,1679,"경북","<U+5E86>北","Gyeongsangbuk-do",3,1538,84,2,1,"63.06",5894,"2020년 11월 25일 00시","null"
"62","2020-11-25 16:50:24.793",2,373,"전남","全南","Jeollanam-do",8,191,180,8,0,"20.00",5893,"2020년 11월 25일 00시","null"
"63","2020-11-25 16:50:24.793",2,252,"전북","全北","Jeollabuk-do",8,170,80,8,0,"13.87",5892,"2020년 11월 25일 00시","null"
"64","2020-11-25 16:50:24.793",8,817,"충남","忠南","Chungcheongnam-do",18,632,177,18,0,"38.49",5891,"2020년 11월 25일 00시","null"
"65","2020-11-25 16:50:24.793",3,231,"충북","忠北","Chungcheongbuk-do",3,202,26,3,0,"14.44",5890,"2020년 11월 25일 00시","null"
"66","2020-11-25 16:50:24.793",6,575,"강원","江原","Gangwon-do",13,326,243,12,1,"37.32",5889,"2020년 11월 25일 00시","null"
"67","2020-11-25 16:50:24.792",111,6681,"경기","京畿","Gyeonggi-do",82,5644,926,77,5,"50.42",5888,"2020년 11월 25일 00시","null"
"68","2020-11-25 16:50:24.792",0,89,"세종","世宗","Sejong",0,82,7,0,0,"26.00",5887,"2020년 11월 25일 00시","null"
"69","2020-11-25 16:50:24.792",2,178,"울산","蔚山","Ulsan",3,164,12,3,0,"15.52",5886,"2020년 11월 25일 00시","null"
"70","2020-11-25 16:50:24.791",6,464,"대전","大田","Daejeon",4,438,20,4,0,"31.48",5885,"2020년 11월 25일 00시","null"
"71","2020-11-25 16:50:24.791",3,632,"광주","光州","Gwangju",14,533,96,14,0,"43.39",5884,"2020년 11월 25일 00시","null"
"72","2020-11-25 16:50:24.791",11,1286,"인천","仁川","Incheon",40,1059,216,39,1,"43.50",5883,"2020년 11월 25일 00시","null"
"73","2020-11-25 16:50:24.791",199,7223,"대구","大邱","Daegu",5,6991,33,5,0,"296.45",5882,"2020년 11월 25일 00시","null"
"74","2020-11-25 16:50:24.791",15,661,"부산","釜山","Busan",18,589,57,18,0,"19.37",5881,"2020년 11월 25일 00시","null"
"75","2020-11-25 16:50:24.791",87,7900,"서울","首<U+5C14>","Seoul",142,6258,1555,139,3,"81.16",5880,"2020년 11월 25일 00시","null"
"76","2020-11-25 16:50:24.791",513,31735,"합계","合<U+8BA1>","Total",382,26825,4397,363,19,"61.21",5879,"2020년 11월 25일 00시","null"
"77","2020-11-25 09:48:19.563",0,2132,"검역","隔離區","Lazaretto",7,1584,548,0,7,"61.21",5878,"2020년 11월 25일 00시","null"
"78","2020-11-25 09:48:19.563",0,70,"제주","<U+6D4E>州","Jeju",3,60,10,3,0,"-",5877,"2020년 11월 25일 00시","null"
"79","2020-11-25 09:48:19.562",1,492,"경남","<U+5E86>南","Gyeongsangnam-do",11,364,127,10,1,"10.44",5876,"2020년 11월 25일 00시","null"
"80","2020-11-25 09:48:19.562",57,1679,"경북","<U+5E86>北","Gyeongsangbuk-do",3,1538,84,2,1,"14.64",5875,"2020년 11월 25일 00시","null"
"81","2020-11-25 09:48:19.562",2,373,"전남","全南","Jeollanam-do",8,191,180,8,0,"63.06",5874,"2020년 11월 25일 00시","null"
