일련번호,지역,업력,대출년도,대출월,대출금액(백만원),업종
1,강원,20년이상,2020,02,200,전자
2,강원,20년미만,2020,02,300,화공
3,강원,10년미만,2020,02,200,전기
4,강원,15년미만,2020,02,290,화공
5,강원,7년미만,2020,02,300,기타
6,강원,20년미만,2020,02,100,기타
7,강원,15년미만,2020,02,500,화공
8,강원,20년이상,2020,02,200,기타
9,경기,15년미만,2020,02,100,화공
10,경기,20년이상,2020,02,700,화공
11,경기,20년이상,2020,02,500,섬유
12,경기,20년미만,2020,02,500,섬유
13,경기,20년미만,2020,02,300,섬유
14,경기,7년미만,2020,02,150,전자
15,경기,20년이상,2020,02,100,기타
16,경기,20년미만,2020,02,200,유통
17,경기,10년미만,2020,02,200,유통
18,경기,10년미만,2020,02,150,유통
19,경기,20년이상,2020,02,300,전기
20,경기,15년미만,2020,02,300,전자
21,경기,10년미만,2020,02,150,금속
22,경기,10년미만,2020,02,300,화공
23,경기,15년미만,2020,02,700,화공
24,경남,10년미만,2020,02,200,기계
25,경남,20년이상,2020,02,200,기계
26,경남,20년이상,2020,02,300,기계
27,경남,20년미만,2020,02,200,기계
28,경남,5년미만,2020,02,300,기타
29,경남,10년미만,2020,02,200,기계
30,경남,15년미만,2020,02,100,금속
31,경남,20년이상,2020,02,300,금속
32,경남,20년미만,2020,02,100,화공
33,경남,5년미만,2020,02,100,유통
34,경남,15년미만,2020,02,300,기계
35,경남,7년미만,2020,02,269,화공
36,경남,20년미만,2020,02,200,화공
37,경남,10년미만,2020,02,200,화공
38,경남,20년미만,2020,02,100,잡화
39,경북,20년이상,2020,02,500,섬유
40,경북,10년미만,2020,02,200,화공
41,경북,10년미만,2020,02,200,기계
42,경북,15년미만,2020,02,200,기계
43,경북,15년미만,2020,02,100,화공
44,경북,7년미만,2020,02,200,화공
45,경북,7년미만,2020,02,100,기계
46,경북,20년이상,2020,02,300,기계
47,경북,20년이상,2020,02,300,기계
48,경북,5년미만,2020,02,200,유통
49,광주,20년미만,2020,02,200,기타
50,대구,20년미만,2020,02,200,섬유
51,대구,20년미만,2020,02,500,섬유
52,대전,20년이상,2020,02,500,기계
53,대전,15년미만,2020,02,500,섬유
54,부산,10년미만,2020,02,300,기타
55,부산,3년미만,2020,02,130,기타
56,부산,10년미만,2020,02,100,기타
57,부산,7년미만,2020,02,470,유통
58,부산,7년미만,2020,02,300,유통
59,부산,5년미만,2020,02,70,유통
60,부산,15년미만,2020,02,100,기계
61,부산,20년이상,2020,02,500,금속
62,부산,7년미만,2020,02,300,잡화
63,서울,10년미만,2020,02,200,기타
64,서울,10년미만,2020,02,250,섬유
65,서울,20년이상,2020,02,500,섬유
66,서울,10년미만,2020,02,200,섬유
67,서울,5년미만,2020,02,100,섬유
68,서울,15년미만,2020,02,100,화공
69,서울,10년미만,2020,02,100,화공
70,서울,20년이상,2020,02,200,전자
71,서울,20년미만,2020,02,400,전자
72,서울,15년미만,2020,02,100,유통
73,서울,15년미만,2020,02,150,유통
74,서울,3년미만,2020,02,100,유통
75,서울,20년이상,2020,02,500,기타
76,서울,5년미만,2020,02,200,기타
77,서울,3년미만,2020,02,150,기타
78,서울,20년이상,2020,02,500,기타
79,서울,15년미만,2020,02,200,유통
80,서울,15년미만,2020,02,250,유통
81,서울,20년이상,2020,02,300,유통
82,서울,5년미만,2020,02,130,유통
83,서울,7년미만,2020,02,300,유통
84,서울,15년미만,2020,02,200,유통
85,서울,15년미만,2020,02,200,기타
86,서울,15년미만,2020,02,300,기타
87,서울,3년미만,2020,02,200,기타
88,서울,7년미만,2020,02,70,기타
89,서울,5년미만,2020,02,150,정보
90,서울,1년미만,2020,02,100,정보
91,울산,10년미만,2020,02,200,기계
92,울산,1년미만,2020,02,50,기타
